X,Y,Z,class
-0.12,-1.34,0.00,3
-0.31,51.17,-74.27,3
0.18,-1.34,-0.12,3
-0.12,-1.34,0.00,3
0.21,51.86,-73.35,3
0.06,-1.40,-0.12,3
-0.12,-1.34,0.00,3
0.57,51.35,-73.25,3
0.00,-1.34,0.00,3
-0.06,-1.53,-0.12,3
-0.06,51.54,-72.14,3
-0.06,-1.40,0.00,3
-0.06,-1.53,-0.12,3
0.11,51.82,-71.41,3
0.12,-1.65,-0.12,3
-0.06,-1.53,-0.12,3
0.18,51.66,-73.05,3
0.18,-1.34,0.12,3
-0.06,-1.53,-0.12,3
0.40,51.79,-73.77,3
0.12,-1.34,-0.18,3
-0.06,-1.53,-0.12,3
0.20,51.45,-74.62,3
-0.06,-1.16,0.00,3
-0.06,-1.53,-0.12,3
-0.28,51.59,-72.91,3
0.12,-1.16,0.06,3
0.24,-1.28,0.00,3
0.05,51.35,-73.12,3
-0.06,-1.53,-0.06,3
0.24,-1.28,0.00,3
0.05,51.50,-74.08,3
0.12,-1.34,0.06,3
0.24,-1.28,0.00,3
-0.01,51.38,-73.39,3
0.12,-1.22,-0.06,3
0.24,-1.28,0.00,3
0.63,51.72,-74.32,3
-0.12,-1.22,0.00,3
0.24,-1.28,0.00,3
0.42,51.98,-73.16,3
0.00,-1.40,0.06,3
0.24,-1.28,0.00,3
0.45,51.99,-74.27,3
0.06,-1.46,0.12,3
0.12,-1.22,0.00,3
0.24,52.17,-73.67,3
-0.06,-1.46,-0.12,3
0.12,-1.22,0.00,3
0.45,52.20,-73.57,3
0.18,-1.65,0.06,3
0.12,-1.22,0.00,3
0.70,51.77,-73.63,3
0.06,-1.28,-0.06,3
0.12,-1.22,0.00,3
0.13,51.89,-73.52,3
0.00,-1.28,-0.06,3
0.12,-1.22,0.00,3
0.48,51.04,-73.89,3
-0.18,-1.34,0.06,3
0.12,-1.22,0.00,3
0.37,51.43,-74.35,3
0.00,-1.22,-0.18,3
0.00,-1.53,-0.24,3
-0.23,51.65,-72.97,3
0.06,-1.40,-0.06,3
0.00,-1.53,-0.24,3
0.70,51.64,-73.56,3
0.00,-1.34,-0.06,3
0.00,-1.53,-0.24,3
0.73,51.35,-72.30,3
0.18,-1.34,0.06,3
0.00,-1.53,-0.24,3
0.52,51.81,-73.27,3
0.06,-1.28,0.06,3
0.00,-1.53,-0.24,3
0.44,51.60,-73.06,3
0.00,-1.22,-0.06,3
0.00,-1.53,-0.24,3
-0.20,51.26,-73.30,3
-0.06,-1.28,0.06,3
0.12,-1.53,-0.06,3
0.28,51.67,-73.27,3
0.12,-1.16,0.00,3
0.12,-1.53,-0.06,3
0.81,51.75,-73.82,3
0.06,-1.22,0.06,3
0.12,-1.53,-0.06,3
-0.18,51.28,-73.32,3
-0.12,-1.34,-0.18,3
0.12,-1.53,-0.06,3
0.55,51.49,-72.91,3
0.12,-1.34,-0.18,3
0.12,-1.53,-0.06,3
0.45,52.11,-73.29,3
0.00,-1.16,0.00,3
0.12,-1.53,-0.06,3
0.39,51.49,-73.55,3
0.12,-1.22,0.00,3
0.12,-1.10,0.00,3
0.34,51.50,-72.75,3
0.06,-1.28,0.00,3
0.12,-1.10,0.00,3
0.43,51.48,-73.24,3
0.31,-1.22,0.00,3
0.12,-1.10,0.00,3
0.77,51.92,-73.14,3
0.00,-1.16,0.12,3
0.12,-1.10,0.00,3
0.42,52.15,-73.95,3
-0.06,-0.92,0.06,3
0.12,-1.10,0.00,3
0.29,52.22,-73.58,3
0.00,-0.92,-0.06,3
0.12,-1.10,0.00,3
0.11,51.56,-73.49,3
0.12,-1.22,15.50,3
0.06,-1.10,0.00,3
0.83,51.29,-72.58,3
-0.06,-1.28,0.00,3
0.06,-1.10,0.00,3
0.74,51.06,-74.38,3
0.18,-1.28,0.00,3
0.06,-1.10,0.00,3
0.65,51.44,-73.13,3
-0.06,-1.22,0.12,3
