X,Y,Z,class
0.24,-1.77,0.49,1
0.49,-42.96,-104.81,1
0.06,-1.83,0.37,1
0.24,-1.77,0.49,1
-0.12,-42.25,-106.15,1
0.06,-1.83,0.31,1
0.24,-1.77,0.49,1
0.33,-42.59,-106.01,1
0.00,-1.46,0.31,1
0.24,-1.77,0.49,1
0.27,-42.61,-105.64,1
0.12,-1.65,0.43,1
0.12,-1.89,0.43,1
0.29,-42.07,-105.88,1
0.18,-1.65,0.31,1
0.12,-1.89,0.43,1
-0.02,-42.10,-105.94,1
0.12,-1.59,0.18,1
0.12,-1.89,0.43,1
1.22,-42.33,-105.90,1
0.24,-1.71,0.37,1
0.12,-1.89,0.43,1
-0.23,-42.41,-106.82,1
0.12,-1.53,0.31,1
0.12,-1.89,0.43,1
0.13,-41.81,-105.90,1
0.12,-1.77,0.37,1
0.12,-1.89,0.43,1
-0.02,-42.25,-106.34,1
0.18,-1.77,0.37,1
0.12,-1.71,0.49,1
0.35,-42.11,-106.09,1
0.24,-1.77,0.37,1
0.12,-1.71,0.49,1
0.07,-42.50,-106.80,1
0.06,-1.71,0.37,1
0.12,-1.71,0.49,1
0.88,-42.25,-106.37,1
0.06,-1.40,0.37,1
0.12,-1.71,0.49,1
0.44,-42.64,-105.71,1
0.12,-1.59,0.24,1
0.12,-1.71,0.49,1
0.23,-42.16,-106.48,1
0.00,-1.53,0.31,1
0.12,-1.71,0.49,1
0.26,-41.39,-105.59,1
0.12,-1.59,0.24,1
0.12,-1.71,0.49,1
0.01,-42.04,-105.90,1
-0.06,-1.71,0.37,1
0.12,-1.71,0.49,1
0.35,-41.97,-105.27,1
0.18,-1.77,0.43,1
0.12,-1.71,0.49,1
0.23,-42.38,-105.58,1
0.18,-1.77,0.37,1
0.12,-1.71,0.49,1
0.20,-42.08,-106.29,1
0.31,-1.71,0.31,1
0.12,-1.71,0.49,1
0.33,-41.60,-105.93,1
0.00,-1.59,0.31,1
0.12,-1.71,0.49,1
0.34,-41.94,-105.92,1
0.18,-1.77,0.43,1
0.18,-1.77,0.37,1
-0.13,-41.77,-105.73,1
0.24,-1.71,0.43,1
0.18,-1.77,0.37,1
0.26,-41.85,-105.81,1
0.37,-1.65,0.43,1
0.18,-1.77,0.37,1
0.04,-41.97,-105.80,1
0.37,-1.77,0.43,1
0.18,-1.77,0.37,1
-0.01,-42.00,-105.04,1
0.00,-1.71,0.43,1
0.18,-1.77,0.37,1
0.76,-42.33,-106.63,1
0.12,-1.83,0.43,1
0.18,-1.77,0.37,1
-0.65,-42.41,-106.19,1
0.06,-1.65,0.49,1
0.18,-1.77,0.37,1
-0.07,-42.40,-105.49,1
0.12,-1.89,0.43,1
0.18,-1.77,0.37,1
0.39,-41.70,-105.32,1
0.37,-1.71,0.43,1
0.18,-1.77,0.37,1
-0.17,-42.60,-106.14,1
0.18,-1.40,0.37,1
0.18,-1.77,0.37,1
-0.29,-42.16,-106.07,1
0.12,-1.59,0.43,1
0.18,-1.77,0.37,1
0.39,-42.25,-105.58,1
0.18,-1.83,0.37,1
0.18,-1.77,0.37,1
0.12,-41.83,-105.65,1
0.12,-1.77,0.43,1
0.31,-1.77,0.37,1
-0.09,-42.68,-104.69,1
0.18,-1.71,0.37,1
0.31,-1.77,0.37,1
-0.32,-42.74,-104.82,1
0.06,-1.77,0.37,1
0.31,-1.77,0.37,1
0.34,-41.36,-104.98,1
0.37,-1.65,0.43,1
0.31,-1.77,0.37,1
0.42,-41.72,-105.60,1
-0.06,-1.59,0.49,1
0.31,-1.77,0.37,1
-0.26,-41.83,-105.79,1
0.00,-1.71,0.31,1
0.31,-1.77,0.37,1
-0.39,-41.48,-105.10,1
0.06,-1.77,0.31,1
0.31,-1.77,0.37,1
0.45,-42.24,-106.02,1
0.18,-1.77,0.31,1
0.31,-1.77,0.37,1
0.04,-42.11,-105.94,1
0.18,-1.71,0.49,1
0.31,-1.77,0.37,1
-0.09,-42.32,-106.07,1
0.43,-1.71,0.43,1
0.31,-1.77,0.37,1
0.20,-42.16,-106.01,1
0.06,-1.77,0.43,1
0.31,-1.77,0.37,1
0.52,-41.72,-105.58,1
0.24,-1.71,0.31,1
0.31,-1.77,0.37,1
0.33,-42.29,-105.60,1
0.24,-1.83,0.43,1
0.31,-1.77,0.37,1
0.57,-42.09,-106.07,1
0.12,-1.59,0.37,1
